year,cbsa,cbsatitle,category,indicator,value
2007,35300,"New Haven-Milford, CT",Growth,"Employment, indexed to 2000",0.000794296
2008,35300,"New Haven-Milford, CT",Growth,"Employment, indexed to 2000",-0.003686447
2009,35300,"New Haven-Milford, CT",Growth,"Employment, indexed to 2000",-0.045979463
2010,35300,"New Haven-Milford, CT",Growth,"Employment, indexed to 2000",-0.057605363
2011,35300,"New Haven-Milford, CT",Growth,"Employment, indexed to 2000",-0.048402481
2012,35300,"New Haven-Milford, CT",Growth,"Employment, indexed to 2000",-0.035427321
2013,35300,"New Haven-Milford, CT",Growth,"Employment, indexed to 2000",-0.023898926
2014,35300,"New Haven-Milford, CT",Growth,"Employment, indexed to 2000",-0.011421127
2000,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0
2001,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.022996979
2002,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.040746689
2003,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.041632462
2004,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.100763172
2005,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.101982348
2006,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.120816119
2007,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.141999587
2008,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.119400561
2009,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.065804675
2010,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.084511951
2011,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.088392794
2012,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.104186937
2013,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.115021743
2014,35300,"New Haven-Milford, CT",Growth,"Output, indexed to 2000",0.115693815
2000,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0
2001,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.023605881
2002,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.042225264
2003,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.058961183
2004,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.081570968
2005,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.033585206
2006,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",-0.003989944
2007,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.05662857
2008,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.094263002
2009,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.08248619
2010,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.092477724
2011,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.093225785
2012,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.095133208
2013,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.10176155
2014,35380,"New Orleans-Metairie, LA",Growth,"Aggregate Wages, indexed to 2000",0.124691926
2000,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",0
2001,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",0.00223381
2002,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.013775635
2003,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.009731293
2004,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.005014343
2005,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.097852707
2006,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.21621795
2007,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.161421657
2008,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.141125336
2009,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.148806766
2010,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.150407404
2011,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.139893115
2012,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.130528033
2013,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.114262775
2014,35380,"New Orleans-Metairie, LA",Growth,"Employment, indexed to 2000",-0.100627139
2000,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0
2001,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.025409851
2002,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.031444855
2003,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.088186413
2004,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.117795944
2005,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.123844758
2006,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.011060944
2007,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",-0.00110817
2008,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.009005967
2009,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.034716416
2010,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.081526488
2011,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.03789261
2012,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.05285614
2013,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.042243272
2014,35380,"New Orleans-Metairie, LA",Growth,"Output, indexed to 2000",0.052431259
2000,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0
2001,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",9.61304E-05
2002,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",-0.033657607
2003,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",-0.037158202
2004,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",-0.002850265
2005,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.017026443
2006,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.066163711
2007,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.127577737
2008,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.113007657
2009,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.033725966
2010,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.056260452
2011,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.068491742
2012,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.080419309
2013,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.089726105
2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Aggregate Wages, indexed to 2000",0.138792425
2000,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0
2001,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0.00045227
2002,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",-0.015526352
2003,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",-0.019319076
2004,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",-0.01361084
2005,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",-0.005352554
2006,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0.005276184
2007,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0.018766785
2008,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0.021899413
2009,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",-0.011942139
2010,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",-0.012689667
2011,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0.00028389
2012,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0.015842438
2013,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0.032623976
2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Employment, indexed to 2000",0.052688219
2000,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0
2001,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.033829115
2002,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.029138794
2003,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.035917282
2004,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.06300392
2005,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.103489071
2006,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.13506043
2007,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.147280201
2008,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.114457548
2009,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.118278883
2010,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.153165817
2011,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.165641636
2012,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.204831779
2013,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.218882829
2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Growth,"Output, indexed to 2000",0.246137321
2000,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0
2001,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",-0.048165511
2002,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.024674987
2003,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.053567123
2004,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.137745976
2005,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.2321347
2006,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.296175987
2007,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.260158002
2008,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.138787761
2009,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.062508695
2010,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.02443924
2011,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.027239762
2012,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.050156403
2013,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.089821398
2014,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Aggregate Wages, indexed to 2000",0.15158394
2000,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0
2001,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",-0.003055115
2002,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.034838792
2003,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.052294541
2004,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.102414705
2005,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.151662827
2006,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.179979324
2007,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.153111726
2008,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.10284996
2009,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.022575378
2010,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.004833069
2011,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.014474563
2012,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.041119613
2013,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.081937335
2014,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Employment, indexed to 2000",0.132914737
2000,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0
2001,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.008914795
2002,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.091477968
2003,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.147371069
2004,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.240334168
2005,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.340052038
2006,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.381784976
2007,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.353390813
2008,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.286121368
2009,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.190463945
2010,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.188100517
2011,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.186569676
2012,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.200232625
2013,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.245731741
2014,35840,"North Port-Sarasota-Bradenton, FL",Growth,"Output, indexed to 2000",0.285504162
2000,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0
2001,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.025538025
2002,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.058061447
2003,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.081418149
2004,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.116734847
2005,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.134897918
2006,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.204911426
2007,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.254951388
2008,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.247873604
2009,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.21389702
2010,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.205383152
2011,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.213338092
2012,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.232862085
2013,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.258329004
2014,36260,"Ogden-Clearfield, UT",Growth,"Aggregate Wages, indexed to 2000",0.310817719
2000,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0
2001,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.00977211
2002,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.016850129
2003,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.024562072
2004,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.047935866
2005,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.069089815
2006,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.107826687
2007,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.146840975
2008,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.142851099
2009,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.093436353
2010,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.087361984
2011,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.101925813
2012,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.127446443
2013,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.156351924
2014,36260,"Ogden-Clearfield, UT",Growth,"Employment, indexed to 2000",0.189714357
2000,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0
2001,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.020592194
2002,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.03583023
2003,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.069485553
2004,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.117636792
2005,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.155628353
2006,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.225552142
2007,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.278577566
2008,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.247443929
2009,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.23862724
2010,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.263513327
2011,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.285515755
2012,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.270407647
2013,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.314708263
2014,36260,"Ogden-Clearfield, UT",Growth,"Output, indexed to 2000",0.355018914
2000,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0
2001,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.016449966
2002,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.028184051
2003,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.049555283
2004,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.078731306
2005,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.094368823
2006,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.169668347
2007,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.194534525
2008,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.237796098
2009,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.210906371
2010,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.222335055
2011,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.276895374
2012,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.325579226
2013,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.362497568
2014,36420,"Oklahoma City, OK",Growth,"Aggregate Wages, indexed to 2000",0.408021241
2000,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0
2001,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.013916778
2002,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.005090408
2003,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",-0.012563782
2004,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.003956146
2005,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.02578415
2006,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.042633589
2007,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.057817232
2008,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.071266025
2009,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.041996229
2010,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.0386924
2011,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.062226485
2012,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.088549882
2013,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.113056257
2014,36420,"Oklahoma City, OK",Growth,"Employment, indexed to 2000",0.130054623
2000,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0
2001,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.038770296
2002,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.066372909
2003,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.078203052
2004,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.120423511
2005,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.149034277
2006,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.19714798
2007,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.214821398
2008,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.238949969
2009,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.222168878
2010,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.259343028
2011,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.300980538
2012,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.359999835
2013,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.39912644
2014,36420,"Oklahoma City, OK",Growth,"Output, indexed to 2000",0.429239959
2000,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0
2001,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.004385452
2002,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.020314179
2003,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.03523178
2004,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.060940094
2005,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.075343937
2006,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.121950075
2007,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.145841137
2008,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.150146186
2009,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.132326961
2010,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.117249906
2011,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.116601489
2012,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.148684308
2013,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.167463452
2014,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Aggregate Wages, indexed to 2000",0.20683144
2000,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0
2001,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.004155121
2002,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",-0.010192489
2003,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",-0.008768311
2004,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",-0.006530304
2005,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.00841217
2006,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.026145935
2007,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.041360244
2008,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.055315629
2009,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.032540817
2010,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.028940506
2011,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.03916664
2012,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.053199921
2013,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.070204318
2014,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Employment, indexed to 2000",0.087561108
2000,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0
2001,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.014088592
2002,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.032299042
2003,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.073862687
2004,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.093980558
2005,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.114313662
2006,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.139923483
2007,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.148806766
2008,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.145659864
2009,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.142022625
2010,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.175175175
2011,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.206662446
2012,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.241041481
2013,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.271797568
2014,36540,"Omaha-Council Bluffs, NE-IA",Growth,"Output, indexed to 2000",0.293629467
2000,36740,"Orlando-Kissimmee-Sanford, FL",Growth,"Aggregate Wages, indexed to 2000",0
