Year,CBSA,CBSA_Name,Race,Indicator,Value,SE,Sig
2009-2014,44700,"Stockton-Lodi, CA",White,Percentage Point Change in Employment-to-Population Ratio,0.0091956854,0.0233151391,
2009-2014,45060,"Syracuse, NY",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.166890502,0.0678968579,*
2009-2014,45060,"Syracuse, NY",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0308383107,0.0489580072,
2009-2014,45060,"Syracuse, NY",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0891833901,0.0778319314,
2009-2014,45060,"Syracuse, NY",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0082445741,0.0849437937,
2009-2014,45060,"Syracuse, NY",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0618087053,0.0332268216,*
2009-2014,45060,"Syracuse, NY",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0058221817,0.0123573085,
2009-2014,45060,"Syracuse, NY",White,Percentage Point Change in Employment-to-Population Ratio,0.0087103248,0.0127623715,
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0228990912,0.0336364359,
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Black,Percentage Point Change in Employment-to-Population Ratio,0.0687552094,0.0210943278,*
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0061927438,0.0150875002,
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0261113644,0.0511216857,
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0247294903,0.0104001435,*
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Total,Percentage Point Change in Employment-to-Population Ratio,0.008654058,0.0068128551,
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",White,Percentage Point Change in Employment-to-Population Ratio,0.00215137,0.0080879312,
2009-2014,45780,"Toledo, OH",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0086547136,0.11005079,
2009-2014,45780,"Toledo, OH",Black,Percentage Point Change in Employment-to-Population Ratio,0.0841556191,0.0472504273,*
2009-2014,45780,"Toledo, OH",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.1919599175,0.0587532409,*
2009-2014,45780,"Toledo, OH",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0513129234,0.0899754912,
2009-2014,45780,"Toledo, OH",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.1024262905,0.0338602476,*
2009-2014,45780,"Toledo, OH",Total,Percentage Point Change in Employment-to-Population Ratio,0.0485739112,0.014010177,*
2009-2014,45780,"Toledo, OH",White,Percentage Point Change in Employment-to-Population Ratio,0.0376325846,0.0149916839,*
2009-2014,46060,"Tucson, AZ",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0759248734,0.0613389201,
2009-2014,46060,"Tucson, AZ",Black,Percentage Point Change in Employment-to-Population Ratio,0.0366488695,0.0647311807,
2009-2014,46060,"Tucson, AZ",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.024841249,0.0192031842,
2009-2014,46060,"Tucson, AZ",Other,Percentage Point Change in Employment-to-Population Ratio,0.0805054009,0.0585990027,
2009-2014,46060,"Tucson, AZ",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0238821507,0.0169476308,
2009-2014,46060,"Tucson, AZ",Total,Percentage Point Change in Employment-to-Population Ratio,0.0190785527,0.0107595157,*
2009-2014,46060,"Tucson, AZ",White,Percentage Point Change in Employment-to-Population Ratio,0.0195912719,0.0144872423,
2009-2014,46140,"Tulsa, OK",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0555086136,0.0616670623,
2009-2014,46140,"Tulsa, OK",Black,Percentage Point Change in Employment-to-Population Ratio,0.0783368945,0.0505761057,
2009-2014,46140,"Tulsa, OK",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0686784983,0.0385888033,*
2009-2014,46140,"Tulsa, OK",Other,Percentage Point Change in Employment-to-Population Ratio,0.0200720429,0.0298764128,
2009-2014,46140,"Tulsa, OK",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0550912023,0.022223765,*
2009-2014,46140,"Tulsa, OK",Total,Percentage Point Change in Employment-to-Population Ratio,0.0424636006,0.0101257898,*
2009-2014,46140,"Tulsa, OK",White,Percentage Point Change in Employment-to-Population Ratio,0.0406150222,0.011520531,*
2009-2014,46520,"Urban Honolulu, HI",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.005412519,0.0138270231,
2009-2014,46520,"Urban Honolulu, HI",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0214687586,0.0552935824,
2009-2014,46520,"Urban Honolulu, HI",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0050798655,0.037120562,
2009-2014,46520,"Urban Honolulu, HI",Other,Percentage Point Change in Employment-to-Population Ratio,0.0070849657,0.0213079769,
2009-2014,46520,"Urban Honolulu, HI",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0040391088,0.010567639,
2009-2014,46520,"Urban Honolulu, HI",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0054104328,0.0091470843,
2009-2014,46520,"Urban Honolulu, HI",White,Percentage Point Change in Employment-to-Population Ratio,-0.0100625157,0.0190571658,
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0237655044,0.0329115242,
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0378757715,0.0152164465,*
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0173449516,0.0366662554,
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Other,Percentage Point Change in Employment-to-Population Ratio,0.0861634612,0.0487023331,*
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0200821757,0.0127596585,
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0137032866,0.0079358704,*
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",White,Percentage Point Change in Employment-to-Population Ratio,-0.0049053431,0.0091330893,
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0192632079,0.013016819,
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0189521313,0.0084439507,*
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0178872347,0.0106039811,*
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Other,Percentage Point Change in Employment-to-Population Ratio,0.0228258371,0.0239257738,
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0052227378,0.005630156,
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Total,Percentage Point Change in Employment-to-Population Ratio,0.000156641,0.00381998,
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",White,Percentage Point Change in Employment-to-Population Ratio,0.0102085471,0.0048526363,*
2009-2014,48620,"Wichita, KS",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.08488518,0.0855372101,
2009-2014,48620,"Wichita, KS",Black,Percentage Point Change in Employment-to-Population Ratio,-0.1016013026,0.0608932823,*
2009-2014,48620,"Wichita, KS",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0113438368,0.0445821397,
2009-2014,48620,"Wichita, KS",Other,Percentage Point Change in Employment-to-Population Ratio,0.0718522668,0.0890351981,
2009-2014,48620,"Wichita, KS",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0395636559,0.032263767,
2009-2014,48620,"Wichita, KS",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0295383334,0.0140193049,*
2009-2014,48620,"Wichita, KS",White,Percentage Point Change in Employment-to-Population Ratio,-0.020991087,0.0163687561,
2009-2014,49180,"Winston-Salem, NC",Asian,Percentage Point Change in Employment-to-Population Ratio,0.1348827481,0.1060466543,
2009-2014,49180,"Winston-Salem, NC",Black,Percentage Point Change in Employment-to-Population Ratio,0.0010440946,0.0322642922,
2009-2014,49180,"Winston-Salem, NC",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0108969808,0.0406063944,
2009-2014,49180,"Winston-Salem, NC",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0611935258,0.101915285,
2009-2014,49180,"Winston-Salem, NC",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0109089613,0.0262147337,
2009-2014,49180,"Winston-Salem, NC",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0018398762,0.0138109336,
2009-2014,49180,"Winston-Salem, NC",White,Percentage Point Change in Employment-to-Population Ratio,-0.0041276217,0.0169894528,
2009-2014,49340,"Worcester, MA-CT",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0615595579,0.0559207052,
2009-2014,49340,"Worcester, MA-CT",Black,Percentage Point Change in Employment-to-Population Ratio,-0.1034133434,0.0546255186,*
2009-2014,49340,"Worcester, MA-CT",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0047492981,0.040567454,
2009-2014,49340,"Worcester, MA-CT",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0170935392,0.0731030479,
2009-2014,49340,"Worcester, MA-CT",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0381789207,0.0260251705,
2009-2014,49340,"Worcester, MA-CT",Total,Percentage Point Change in Employment-to-Population Ratio,0.0059253573,0.0107301064,
2009-2014,49340,"Worcester, MA-CT",White,Percentage Point Change in Employment-to-Population Ratio,0.0210236311,0.0120452186,*
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Asian,Percentage Point Change in Employment-to-Population Ratio,0.1424384713,0.1401485056,
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Black,Percentage Point Change in Employment-to-Population Ratio,0.0332381725,0.0486706719,
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0028575659,0.0867044851,
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0138245821,0.1097714826,
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0348095894,0.0380961485,
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Total,Percentage Point Change in Employment-to-Population Ratio,0.0212988853,0.0141371647,
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",White,Percentage Point Change in Employment-to-Population Ratio,0.0220053196,0.0145302536,
2009-2014,99997,Top 100 Metros,Asian,Percentage Point Change in Employment-to-Population Ratio,0.0014122128,0.0022883809,
2009-2014,99997,Top 100 Metros,Black,Percentage Point Change in Employment-to-Population Ratio,0.0158575773,0.002381874,*
2009-2014,99997,Top 100 Metros,Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0121580958,0.0016110387,*
2009-2014,99997,Top 100 Metros,Other,Percentage Point Change in Employment-to-Population Ratio,0.0082249045,0.0055598924,
2009-2014,99997,Top 100 Metros,People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0125551224,0.0011510937,*
2009-2014,99997,Top 100 Metros,Total,Percentage Point Change in Employment-to-Population Ratio,0.0080122948,0.000717639,*
2009-2014,99997,Top 100 Metros,White,Percentage Point Change in Employment-to-Population Ratio,0.0090844035,0.0008086222,*
2009-2014,99999,United States,Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0001212955,0.0020865391,
2009-2014,99999,United States,Black,Percentage Point Change in Employment-to-Population Ratio,0.0129926801,0.002022462,*
2009-2014,99999,United States,Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0123555064,0.0014993913,*
2009-2014,99999,United States,Other,Percentage Point Change in Employment-to-Population Ratio,0.0066657066,0.0043171044,
2009-2014,99999,United States,People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0119447112,0.0010432259,*
2009-2014,99999,United States,Total,Percentage Point Change in Employment-to-Population Ratio,0.005625248,0.0006310938,*
2009-2014,99999,United States,White,Percentage Point Change in Employment-to-Population Ratio,0.0057899356,0.0007174101,*
2013-2014,10420,"Akron, OH",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.084315598,0.0801324472,
2013-2014,10420,"Akron, OH",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0650472045,0.0427921303,
2013-2014,10420,"Akron, OH",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0077349544,0.0847999305,
2013-2014,10420,"Akron, OH",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0068323612,0.1043823138,
2013-2014,10420,"Akron, OH",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0552537441,0.0326386243,*
2013-2014,10420,"Akron, OH",Total,Percentage Point Change in Employment-to-Population Ratio,0.0071558952,0.0113485577,
2013-2014,10420,"Akron, OH",White,Percentage Point Change in Employment-to-Population Ratio,0.0216021538,0.0123098074,*
2013-2014,10580,"Albany-Schenectady-Troy, NY",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0044382811,0.0658045411,
2013-2014,10580,"Albany-Schenectady-Troy, NY",Black,Percentage Point Change in Employment-to-Population Ratio,0.0206810236,0.0474291295,
2013-2014,10580,"Albany-Schenectady-Troy, NY",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0249102712,0.0550718457,
2013-2014,10580,"Albany-Schenectady-Troy, NY",Other,Percentage Point Change in Employment-to-Population Ratio,0.0918827057,0.0765849948,
2013-2014,10580,"Albany-Schenectady-Troy, NY",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0131849051,0.0297601856,
2013-2014,10580,"Albany-Schenectady-Troy, NY",Total,Percentage Point Change in Employment-to-Population Ratio,0.0185610652,0.012142512,
2013-2014,10580,"Albany-Schenectady-Troy, NY",White,Percentage Point Change in Employment-to-Population Ratio,0.0202324986,0.0126954196,
2013-2014,10740,"Albuquerque, NM",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0247519016,0.0766169131,
2013-2014,10740,"Albuquerque, NM",Black,Percentage Point Change in Employment-to-Population Ratio,0.0187777877,0.0689168721,
2013-2014,10740,"Albuquerque, NM",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0129798055,0.0199202243,
2013-2014,10740,"Albuquerque, NM",Other,Percentage Point Change in Employment-to-Population Ratio,0.1512773633,0.0395136923,*
2013-2014,10740,"Albuquerque, NM",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0076540709,0.017698342,
2013-2014,10740,"Albuquerque, NM",Total,Percentage Point Change in Employment-to-Population Ratio,0.001519978,0.0124310721,
2013-2014,10740,"Albuquerque, NM",White,Percentage Point Change in Employment-to-Population Ratio,-0.0060218573,0.0182588901,
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0537968278,0.0713750646,
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Black,Percentage Point Change in Employment-to-Population Ratio,0.0927799344,0.067800343,
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.057328999,0.0410324484,
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Other,Percentage Point Change in Employment-to-Population Ratio,-0.1115992665,0.1225179732,
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0532188416,0.0292659346,*
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Percentage Point Change in Employment-to-Population Ratio,0.0406184793,0.0112587921,*
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",White,Percentage Point Change in Employment-to-Population Ratio,0.0381163955,0.0115817375,*
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0182436705,0.017279882,
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0032879114,0.0087764291,
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0224291682,0.0161269698,
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Other,Percentage Point Change in Employment-to-Population Ratio,0.0008772612,0.0360517837,
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0043617487,0.0072154594,
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Total,Percentage Point Change in Employment-to-Population Ratio,0.0032429099,0.004910924,
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",White,Percentage Point Change in Employment-to-Population Ratio,0.0025296211,0.0052198097,
2013-2014,12260,"Augusta-Richmond County, GA-SC",Asian,Percentage Point Change in Employment-to-Population Ratio,0.1657299399,0.1076176614,
2013-2014,12260,"Augusta-Richmond County, GA-SC",Black,Percentage Point Change in Employment-to-Population Ratio,0.035179913,0.0330253281,
2013-2014,12260,"Augusta-Richmond County, GA-SC",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0366947651,0.0691997558,
2013-2014,12260,"Augusta-Richmond County, GA-SC",Other,Percentage Point Change in Employment-to-Population Ratio,0.0243382454,0.1054412648,
2013-2014,12260,"Augusta-Richmond County, GA-SC",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0325243473,0.0275293458,
2013-2014,12260,"Augusta-Richmond County, GA-SC",Total,Percentage Point Change in Employment-to-Population Ratio,0.0139574409,0.0164748672,
2013-2014,12260,"Augusta-Richmond County, GA-SC",White,Percentage Point Change in Employment-to-Population Ratio,-0.0007204413,0.0204930659,
2013-2014,12420,"Austin-Round Rock, TX",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0605659485,0.0274066459,*
2013-2014,12420,"Austin-Round Rock, TX",Black,Percentage Point Change in Employment-to-Population Ratio,0.0119749904,0.0294240396,
2013-2014,12420,"Austin-Round Rock, TX",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0084658265,0.0127744786,
2013-2014,12420,"Austin-Round Rock, TX",Other,Percentage Point Change in Employment-to-Population Ratio,0.0119979978,0.0499040186,
2013-2014,12420,"Austin-Round Rock, TX",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0104804635,0.0112455366,
2013-2014,12420,"Austin-Round Rock, TX",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0086120367,0.0077196015,
2013-2014,12420,"Austin-Round Rock, TX",White,Percentage Point Change in Employment-to-Population Ratio,-0.0066392422,0.0092788581,
2013-2014,12540,"Bakersfield, CA",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0175845027,0.057192333,
2013-2014,12540,"Bakersfield, CA",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0552691221,0.0556788929,
2013-2014,12540,"Bakersfield, CA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0027920604,0.0185007453,
2013-2014,12540,"Bakersfield, CA",Other,Percentage Point Change in Employment-to-Population Ratio,0.1814883947,0.0882359073,*
2013-2014,12540,"Bakersfield, CA",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0064337254,0.0164585765,
2013-2014,12540,"Bakersfield, CA",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0079848766,0.0129552074,
2013-2014,12540,"Bakersfield, CA",White,Percentage Point Change in Employment-to-Population Ratio,-0.0314372778,0.0200951099,
2013-2014,12580,"Baltimore-Columbia-Towson, MD",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0169795752,0.0225295033,
2013-2014,12580,"Baltimore-Columbia-Towson, MD",Black,Percentage Point Change in Employment-to-Population Ratio,-0.0275374651,0.0113854967,*
2013-2014,12580,"Baltimore-Columbia-Towson, MD",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.007478714,0.0270050913,
2013-2014,12580,"Baltimore-Columbia-Towson, MD",Other,Percentage Point Change in Employment-to-Population Ratio,0.022977531,0.0419449955,
2013-2014,12580,"Baltimore-Columbia-Towson, MD",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0161070824,0.008106539,*
2013-2014,12580,"Baltimore-Columbia-Towson, MD",Total,Percentage Point Change in Employment-to-Population Ratio,-0.001544416,0.0053616487,
2013-2014,12580,"Baltimore-Columbia-Towson, MD",White,Percentage Point Change in Employment-to-Population Ratio,0.0102327466,0.0071833599,
2013-2014,12940,"Baton Rouge, LA",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0646011829,0.0690603331,
2013-2014,12940,"Baton Rouge, LA",Black,Percentage Point Change in Employment-to-Population Ratio,0.0580073595,0.0224478636,*
2013-2014,12940,"Baton Rouge, LA",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0763651729,0.0571829826,
2013-2014,12940,"Baton Rouge, LA",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0768618584,0.1059653088,
2013-2014,12940,"Baton Rouge, LA",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0555075407,0.0196261499,*
2013-2014,12940,"Baton Rouge, LA",Total,Percentage Point Change in Employment-to-Population Ratio,0.0216401219,0.0106485197,*
2013-2014,12940,"Baton Rouge, LA",White,Percentage Point Change in Employment-to-Population Ratio,-0.0034708977,0.0150813879,
2013-2014,13820,"Birmingham-Hoover, AL",Asian,Percentage Point Change in Employment-to-Population Ratio,0.1799675226,0.0619756132,*
2013-2014,13820,"Birmingham-Hoover, AL",Black,Percentage Point Change in Employment-to-Population Ratio,0.0036646128,0.0203498621,
2013-2014,13820,"Birmingham-Hoover, AL",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0243140459,0.0512589291,
2013-2014,13820,"Birmingham-Hoover, AL",Other,Percentage Point Change in Employment-to-Population Ratio,0.0072527528,0.0901351795,
2013-2014,13820,"Birmingham-Hoover, AL",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0070000887,0.0185810793,
2013-2014,13820,"Birmingham-Hoover, AL",Total,Percentage Point Change in Employment-to-Population Ratio,0.0047172308,0.009700533,
2013-2014,13820,"Birmingham-Hoover, AL",White,Percentage Point Change in Employment-to-Population Ratio,0.0034811497,0.0108725633,
2013-2014,14260,"Boise City, ID",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.087688148,0.0976539403,
2013-2014,14260,"Boise City, ID",Black,Percentage Point Change in Employment-to-Population Ratio,0.4521867335,0.186768055,*
2013-2014,14260,"Boise City, ID",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0069152117,0.0495176092,
2013-2014,14260,"Boise City, ID",Other,Percentage Point Change in Employment-to-Population Ratio,0.2782418728,0.0891585797,*
2013-2014,14260,"Boise City, ID",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0382281542,0.0401426181,
2013-2014,14260,"Boise City, ID",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0029423833,0.0141813289,
2013-2014,14260,"Boise City, ID",White,Percentage Point Change in Employment-to-Population Ratio,-0.0118095279,0.015488998,
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0272281766,0.016432384,*
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",Black,Percentage Point Change in Employment-to-Population Ratio,-0.00464499,0.0205337387,
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0136466622,0.0179226287,
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0401514173,0.0341197401,
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0175274014,0.0106148329,*
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",Total,Percentage Point Change in Employment-to-Population Ratio,0.0038286448,0.0049609132,
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",White,Percentage Point Change in Employment-to-Population Ratio,0.0126865506,0.0051943474,*
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0241149068,0.0457505845,
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Black,Percentage Point Change in Employment-to-Population Ratio,0.0302113295,0.0310835186,
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Hispanic,Percentage Point Change in Employment-to-Population Ratio,-0.0487430096,0.023528913,*
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Other,Percentage Point Change in Employment-to-Population Ratio,-0.0119153261,0.0726340562,
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",People of Color,Percentage Point Change in Employment-to-Population Ratio,-0.0130594373,0.0179197658,
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Total,Percentage Point Change in Employment-to-Population Ratio,-0.0026477575,0.0098050572,
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",White,Percentage Point Change in Employment-to-Population Ratio,0.0039087534,0.010670187,
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0273856521,0.0569188371,
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Black,Percentage Point Change in Employment-to-Population Ratio,0.0801804662,0.0342354067,*
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0520538688,0.0497184694,
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Other,Percentage Point Change in Employment-to-Population Ratio,0.0786172152,0.0652141571,
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0587621331,0.0252445638,*
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Total,Percentage Point Change in Employment-to-Population Ratio,0.0179623961,0.0087395106,*
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",White,Percentage Point Change in Employment-to-Population Ratio,0.0078418851,0.0098442212,
2013-2014,15980,"Cape Coral-Fort Myers, FL",Asian,Percentage Point Change in Employment-to-Population Ratio,-0.0601055622,0.1250419915,
2013-2014,15980,"Cape Coral-Fort Myers, FL",Black,Percentage Point Change in Employment-to-Population Ratio,0.0300093293,0.0489280224,
2013-2014,15980,"Cape Coral-Fort Myers, FL",Hispanic,Percentage Point Change in Employment-to-Population Ratio,0.0137438774,0.033845108,
2013-2014,15980,"Cape Coral-Fort Myers, FL",Other,Percentage Point Change in Employment-to-Population Ratio,0.2703509927,0.1189754531,*
2013-2014,15980,"Cape Coral-Fort Myers, FL",People of Color,Percentage Point Change in Employment-to-Population Ratio,0.0239146948,0.0273811165,
2013-2014,15980,"Cape Coral-Fort Myers, FL",Total,Percentage Point Change in Employment-to-Population Ratio,0.0224742889,0.0155769913,
2013-2014,15980,"Cape Coral-Fort Myers, FL",White,Percentage Point Change in Employment-to-Population Ratio,0.0216931105,0.0173747931,
2013-2014,16700,"Charleston-North Charleston, SC",Asian,Percentage Point Change in Employment-to-Population Ratio,0.0917493701,0.0809470415,
